id,CompanyName,Address,phone,representative,email,description,sector,ProductAndService,Market,Masothue,Year,Scale,Capacity,Price
company_1,Công Ty TNHH MTV Minh Tâm Phát,"261 KP. 3, QL. 1A, TT. Bến Lức, H. Bến Lức, Long An",0913 958 373,Mr. Phạm Hoàng Phát,minhtamphat@gmail.com,Công Ty TNHH MTV Minh Tâm Phát thành lập và hoạt động từ năm 2004 chuyên: + Xay xát các loại gạo đặc sản và thông dụng + Cung cấp gạo cho bếp ăn công nghiệp - trường học Sản phẩm được sản xuất đạt chuẩn An Toàn Vệ Sinh Thực Phẩm bộ NN&PTNT Long An cấp.,Xay Xát - Nhà Máy Xay Xát Lúa Gạo,"Xay Xát - Nhà Máy Xay Xát Lúa Gạo;Gạo - Công Ty Và Đại Lý Gạo;Nhà sản xuất, Công ty Thương mại;Toàn quốc",Toàn quốc,1100523365,2004,Từ 11  - 50 người,197.5547265132886,3964.492995047926
company_2,Công Ty Cổ Phần Sản Xuất Thương Mại Lúa Vàng Việt,"785-787 Cách Mạng Tháng tám, Khu Phố 2, Phường 3, Thành Phố Tây Ninh, Tây Ninh",0945402710,Mr. Đào Duy Băng Thanh,thanhdao@ducthanhco.vn,"Công Ty Lúa Vàng Việt là đơn vị sản xuất và cung ứng các loại gạo trắng thương phẩm, gạo lứt thô,.. Ngoài ra còn có các phụ phẩm gạo khác như tấm, cám và vỏ trấu. Với quy mô nhà máy lớn nhất Tây Ninh được thành lập vào năm 2018, chúng tôi mong muốn cùng các nhà phân phối đẩy mạnh hệ thống phân phối đến khắp các tỉnh miền Nam và cả nước, bên cạnh đó là xuất khẩu ra nước ngoài. Với sứ mệnh sánh vai và nâng cao sinh kế nhà nông, chúng tôi mang đến các sản phẩm gạo chất lượng cao, hợp khẩu vị và an toàn cho sức khỏe người tiêu dùng. Rất hân hạnh được hợp tác!",Gạo - Công Ty Và Đại Lý Gạo,"Gạo - Công Ty Và Đại Lý Gạo;Xay Xát - Nhà Máy Xay Xát Lúa Gạo;Sản xuất;Toàn quốc, Quốc tế;HACCP, VSATTP","HACCP, VSATTP",3901259282,2018,Từ 51  - 100 người,66.93811832758215,3858.6582957206297
company_3,Công Ty TNHH Chế Biến Nông Sản Song Long,"Thôn 3, Bắc Ruộng, Tánh Linh, Bình Thuận",0971 173 168,Nguyễn Thị La Ngà,langariver@gmail.com,Công Ty TNHH Chế Biến Nông Sản Song Long chuyên dịch vụ xay sát nông sản.,Xay Xát - Nhà Máy Xay Xát Lúa Gạo,"Xay Xát - Nhà Máy Xay Xát Lúa Gạo;Công ty Dịch vụ;Toàn quốc, Quốc tế","Toàn quốc, Quốc tế",2017,Công Ty TNHH Chế Biến Nông Sản Song Long,Công ty Dịch vụ,182.11753121546914,3910.304920505763
company_4,Công ty TNHH Ngọc Ngọc Hà,"Số 15, Tổ 1, Ấp An Long, Xã An Thạnh Trung, Huyện Chợ Mới, An Giang",0972 272 244,Mr. Ngô Văn Nhanh,beriphong@Gmail.com,"Công ty chúng tôi chuyên sản xuất, xay xát lúa gạo.",Xay Xát - Nhà Máy Xay Xát Lúa Gạo,Xay Xát - Nhà Máy Xay Xát Lúa Gạo;Sản xuất;Toàn quốc,Toàn quốc,1601979776,2017,Từ 11  - 50 người,173.79862950398683,2341.5543938514033
company_5,Công Ty Cổ Phần Hoàng Minh Nhật,"Số 18/2, Đường tỉnh lộ 922, ấp Thới Khánh A, xã Tân Thạnh, H. Thới Lai, TP. Cần Thơ",No phone,Hotline,hmn@hmnfoodco.com,"Công Ty CP Hoàng Minh Nhật đến nay đã có hơn 10 năm kinh nghiệm trong ngành sản xuất và chế biến gạo xuất khẩu với hệ thống dây chuyển công nghệ máy móc hiện đại cùng đội ngũ cán bộ, công nhân viên dày dặn kinh nghiệm.Ngành nghề kinh doanh:- Gieo trồng, sản xuất, xay xát, và chế biến lúa gạo xuất khẩu- Kinh doanh lúa gạo- Cung cấp nguyên liệu chế biến thức ăn gia súc từ phụ phẩm lúa gạo (cám, tấm, ..)- Vận tải hàng hóa thủy nội địa và đường bộCác sản phẩm của chúng tôi đã và đang có mặt tại các thị trường quốc tế như Đông Nam á, Trung Đông, khu vực Châu á, Châu Phu và các nước Châu Mỹ,..Sản phẩm chính: - Gạo trắng hạt dài các loại 5%, 10%, 15%, 20%, 25%, 100% tấm- Các loại gạo trắng cho đặc tính mềm cơm, dẻo, thơm.",Xay Xát - Nhà Máy Xay Xát Lúa Gạo,"Xay Xát - Nhà Máy Xay Xát Lúa Gạo;Thức Ăn Chăn Nuôi - Nguyên Liệu Sản Xuất Thức Ăn Chăn Nuôi;Gạo - Công Ty Và Đại Lý Gạo;Nhà sản xuất, Công ty Xuất Khẩu;Toàn quốc, Quốc tế;HACCP",HACCP,HACCP,Công Ty Cổ Phần Hoàng Minh Nhật,"Nhà sản xuất, Công ty Xuất Khẩu",78.91909455856646,3844.0179232815703
company_6,Doanh Nghiệp Tư Nhân Ba Xê,"781 ấp 6B, X. Tân Hoà Châu Thành A, Hậu Giang",No phone,Mr. Lý Phước Lộc,locb1705759@student.ctu.edu.vn,Doanh Nghiệp Tư Nhân Ba Xê  chuyên xay xát gia công sấy lúa với 19 năm hoạt động trong lĩnh vực sấy lúa và xay xát . Đảm bảo chất lượng uy tín hàng đầu.,Xay Xát - Nhà Máy Xay Xát Lúa Gạo,Xay Xát - Nhà Máy Xay Xát Lúa Gạo;Miền Nam,Miền Nam,2002,Từ 11  - 50 người,Doanh Nghiệp Tư Nhân Ba Xê,66.77907823765872,1225.9477870768587
company_7,Cơ Sở Vĩnh Hiệp,"59 Tạ Uyên, P. 15, Q. 5, TP. Hồ Chí Minh (TPHCM)",No phone,No representative,No email,No description,Xay Xát - Nhà Máy Xay Xát Lúa Gạo,Xay Xát - Nhà Máy Xay Xát Lúa Gạo,Xay Xát - Nhà Máy Xay Xát Lúa Gạo,No tax code,No year,No scale,130.11084112064643,1537.0222717720817
company_8,Công Ty TNHH MTV Thương Mại Xuất Nhập Khẩu Tân Phát,"ấp Bình Hiệp B, X. Bình Thạnh Trung, H. Lấp Vò, Đồng Tháp",0918 584 395,Ông Trương Xịa Tiến,truongxiatien@gmail.com,"Công ty Tân Phát được thành lập vào năm 2011, tiền thân là DNTN Tân Phát được thành lập từ năm 1998. Công ty có nhà máy tại Đồng Tháp và An Giang, là thành viên của Hiệp Hội Lương Thực Việt Nam. Tận dụng nguồn vỏ trấu từ nhà máy xay xát, Công ty đầu tư hệ thống ép viên trấu với công suất hiện tại là 8.000 tấn/tháng và đến cuối năm 2014 sẽ tăng sản lượng lên 12.000 tấn/tháng. Đây chính là nguyên liệu dùng đốt lò hơi, thay thế cho than đá, dầu FO.. giúp tiết kiệm 40% chi phí và bảo vệ môi trường, được Cục Kiểm dịch Thực vật cấp Chứng nhận Xử lý nhiệt 150 độ trong 10 phút, đủ tiêu chuẩn xuất khẩu sang thị trường Hàn Quốc, Nhật Bản và Châu Âu.","Củi Trấu, Viên Nén Gỗ, Dăm Gỗ, Mùn Cưa","Củi Trấu, Viên Nén Gỗ, Dăm Gỗ, Mùn Cưa;Xay Xát - Nhà Máy Xay Xát Lúa Gạo;Nông Sản;Nhà sản xuất;Miền Nam, Quốc tế;HACCP",HACCP,1401349015,2011,Từ 11  - 50 người,80.98572256898333,2723.359239085257
company_9,Nhà Máy Xay Xát Lúa Gạo Sáng,"Tổ 1, Ấp Tây, X. Long phước, TP. Bà Rịa, Bà Rịa-Vũng Tàu",No phone,No representative,No email,No description,Xay Xát - Nhà Máy Xay Xát Lúa Gạo,Xay Xát - Nhà Máy Xay Xát Lúa Gạo,Xay Xát - Nhà Máy Xay Xát Lúa Gạo,No tax code,No year,No scale,70.58224137291606,3415.675466424705
company_10,XNCB Nông Sản - CN CTy TNHH TM & DV Đức An Bình Định,"Cụm CN Gò Đá Trắng, Thị Trấn Đập Đá, An Nhơn, Bình Định",No phone,No representative,No email,No description,Thức Ăn Chăn Nuôi - Nguyên Liệu Sản Xuất Thức Ăn Chăn Nuôi,Thức Ăn Chăn Nuôi - Nguyên Liệu Sản Xuất Thức Ăn Chăn Nuôi;Xay Xát - Nhà Máy Xay Xát Lúa Gạo;Nông Sản,Nông Sản,No tax code,No year,No scale,142.3765205915607,1646.3244900752725
